"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Rht24","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b"
"2024-BIGSIX-121","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-122","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-123","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-124","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-125","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-126","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-127","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-128","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-129","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24_het","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-130","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","UNIDENTIFIED","Ax2","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-131","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-132","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-133","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax2","Vrn-A1b","non-H13","non-H13b"
