"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b","TaELF3-B1","TaELF3-D1","Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","Ppd-D1_Norstar_deletion","PHS_3A","Tamyb10_N17_INS","Tamyb10-A1","Yr5","Sr12","Lr67","vrn-A1_MTA","Vrn-A1a","Tsn1","vrn-B1","Vrn-B1","Pinb-D1","Vrn-D1","TaGW2","Rht24","Pm54","Sr6D","7AL_grain_length/weight","Sr22_or_Pm37","Lr68","Lr19/Sr25","Bdv2/3","Vrn-B1c","Fhb7"
"2024-BIGSIX-210","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","non-ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-211","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short_het","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-212","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-213","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-214","non-Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6_het","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-215","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-216","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","UNIDENTIFIED","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-217","non-Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-218","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-219","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B_het","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-220","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-221","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-222","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1",NA,"vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-223","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-224","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24b","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-225","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-226","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-227","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","MTA_vrn-A1_short","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-228","Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15",NA,"5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","UNIDENTIFIED",NA,NA,"TaSus2-2B_het",NA,"non-Ppd-D1_Norstar_deletion",NA,"non-Tamyb10_N17_INS","r-A1_white","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft",NA,NA,NA,"non-Pm54","UNIDENTIFIED","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-229","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","non-ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","non-TaSus2-2B","Sr36/Pm6_het","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","UNIDENTIFIED","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-230","non-Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-231","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-232","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-233",NA,"non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","R-D1",NA,"non-Yr15",NA,"het","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early",NA,NA,NA,NA,"Sr36/Pm6_het",NA,NA,NA,"R-A1","non-Yr5",NA,"Lr67_het","vrn-A1",NA,"UNIDENTIFIED",NA,NA,NA,NA,NA,NA,"non-Pm54","UNIDENTIFIED","UNIDENTIFIED","UNIDENTIFIED","non-Lr68","UNIDENTIFIED","non-Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-234","non-Fhb1","non-1RS:1AL",NA,"non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-235","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","non-ELF3-B1_early","ELF3-D1_early","non-Lr37/Yr17/Sr38","Lr13/Ne2m","Fhb_2B_Bess","non-TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-236","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-237","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Ppd-B1a_CS_insens","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early","ELF3-D1_early","Lr37/Yr17/Sr38","Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","non-Sr36/Pm6","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","non-Pm54","non-Sr6D","non-longer/heavier","non-Sr22_or_Pm37","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-238","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b",NA,"non-H13b","ELF3-B1_early","non-ELF3-D1_early","non-Lr37/Yr17/Sr38",NA,"non-Fhb_2B_Bess","TaSus2-2B",NA,"non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","R-A1","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","non-Sr6D","longer/heavier","UNIDENTIFIED","non-Lr68","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
"2024-BIGSIX-239","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","UNIDENTIFIED","Ax1_or_null","non-Vrn-A1b","non-H13","non-H13b","ELF3-B1_early_het","non-ELF3-D1_early","non-Lr37/Yr17/Sr38","non-Lr13/Ne2m","non-Fhb_2B_Bess","TaSus2-2B","Sr36/Pm6_het","non-Ppd-D1_Norstar_deletion","non-PHS_3A","non-Tamyb10_N17_INS","r-A1_white_het","non-Yr5","non-Sr12","non-Lr67","vrn-A1","vrn-A1","non-Tsn1","vrn-B1","vrn-B1","pinb-D1a_soft","vrn-D1","TaGW2_large","Rht24a","UNIDENTIFIED","non-Sr6D","het","non-Sr22_or_Pm37","Lr68_het","UNIDENTIFIED","Bdv2/3","vrn-B1","non-Fhb7"
